,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
379,28,78488,75986,2983
380,28,78488,75986,2764
381,28,78488,85222,2502
382,28,78488,85222,2983
383,28,78488,85222,2764
384,28,78488,51032,2502
385,28,78488,51032,2983
386,28,78488,51032,2764
387,28,88205,75986,2502
388,28,88205,75986,2983
389,28,88205,75986,2764
390,28,88205,85222,2502
391,28,88205,85222,2983
392,28,88205,85222,2764
393,28,88205,51032,2502
394,28,88205,51032,2983
395,28,88205,51032,2764
396,28,53796,75986,2502
397,28,53796,75986,2983
398,28,53796,75986,2764
399,28,53796,85222,2502
400,28,53796,85222,2983
401,28,53796,85222,2764
402,28,53796,51032,2502
403,28,53796,51032,2983
404,28,53796,51032,2764
405,29,395427,386746,8681
406,29,395427,386746,11084
407,29,395427,386746,11361
408,29,395427,436607,8681
409,29,395427,436607,11084
410,29,395427,436607,11361
411,29,395427,254833,8681
412,29,395427,254833,11084
413,29,395427,254833,11361
414,29,447691,386746,8681
415,29,447691,386746,11084
416,29,447691,386746,11361
417,29,447691,436607,8681
418,29,447691,436607,11084
419,29,447691,436607,11361
420,29,447691,254833,8681
421,29,447691,254833,11084
422,29,447691,254833,11361
423,29,266194,386746,8681
424,29,266194,386746,11084
425,29,266194,386746,11361
426,29,266194,436607,8681
427,29,266194,436607,11084
428,29,266194,436607,11361
429,29,266194,254833,8681
430,29,266194,254833,11084
431,29,266194,254833,11361
432,31,534625,520517,14108
433,31,534625,520517,18725
434,31,534625,520517,18704
435,31,534625,558486,14108
436,31,534625,558486,18725
437,31,534625,558486,18704
438,31,534625,309125,14108
439,31,534625,309125,18725
440,31,534625,309125,18704
441,31,577211,520517,14108
442,31,577211,520517,18725
443,31,577211,520517,18704
444,31,577211,558486,14108
445,31,577211,558486,18725
446,31,577211,558486,18704
447,31,577211,309125,14108
448,31,577211,309125,18725
449,31,577211,309125,18704
450,31,327829,520517,14108
451,31,327829,520517,18725
452,31,327829,520517,18704
453,31,327829,558486,14108
454,31,327829,558486,18725
455,31,327829,558486,18704
456,31,327829,309125,14108
457,31,327829,309125,18725
458,31,327829,309125,18704
459,32,102273,99556,2717
460,32,102273,99556,3307
461,32,102273,99556,3180
462,32,102273,102505,2717
463,32,102273,102505,3307
464,32,102273,102505,3180
465,32,102273,61001,2717
466,32,102273,61001,3307
467,32,102273,61001,3180
468,32,105812,99556,2717
469,32,105812,99556,3307
470,32,105812,99556,3180
471,32,105812,102505,2717
472,32,105812,102505,3307
473,32,105812,102505,3180
474,32,105812,61001,2717
475,32,105812,61001,3307
476,32,105812,61001,3180
477,32,64181,99556,2717
478,32,64181,99556,3307
479,32,64181,99556,3180
480,32,64181,102505,2717
481,32,64181,102505,3307
482,32,64181,102505,3180
483,32,64181,61001,2717
484,32,64181,61001,3307
485,32,64181,61001,3180
486,33,339716,321998,17718
487,33,339716,321998,23760
488,33,339716,321998,23123
489,33,339716,363720,17718
490,33,339716,363720,23760
491,33,339716,363720,23123
492,33,339716,215224,17718
493,33,339716,215224,23760
494,33,339716,215224,23123
495,33,387480,321998,17718
496,33,387480,321998,23760
497,33,387480,321998,23123
498,33,387480,363720,17718
499,33,387480,363720,23760
500,33,387480,363720,23123
501,33,387480,215224,17718
502,33,387480,215224,23760
503,33,387480,215224,23123
504,33,238347,321998,17718
505,33,238347,321998,23760
506,33,238347,321998,23123
507,33,238347,363720,17718
508,33,238347,363720,23760
509,33,238347,363720,23123
510,33,238347,215224,17718
511,33,238347,215224,23760
512,33,238347,215224,23123
513,35,815990,773615,42375
514,35,815990,773615,61461
515,35,815990,773615,57301
516,35,815990,849031,42375
517,35,815990,849031,61461
518,35,815990,849031,57301
519,35,815990,452653,42375
520,35,815990,452653,61461
521,35,815990,452653,57301
522,35,910492,773615,42375
523,35,910492,773615,61461
524,35,910492,773615,57301
525,35,910492,849031,42375
526,35,910492,849031,61461
527,35,910492,849031,57301
528,35,910492,452653,42375
529,35,910492,452653,61461
530,35,910492,452653,57301
531,35,509954,773615,42375
532,35,509954,773615,61461
533,35,509954,773615,57301
534,35,509954,849031,42375
535,35,509954,849031,61461
536,35,509954,849031,57301
537,35,509954,452653,42375
538,35,509954,452653,61461
539,35,509954,452653,57301
540,41,211306,201640,9666
541,41,211306,201640,14363
542,41,211306,201640,13977
543,41,211306,225272,9666
544,41,211306,225272,14363
545,41,211306,225272,13977
546,41,211306,130305,9666
547,41,211306,130305,14363
548,41,211306,130305,13977
549,41,239635,201640,9666
550,41,239635,201640,14363
551,41,239635,201640,13977
552,41,239635,225272,9666
553,41,239635,225272,14363
554,41,239635,225272,13977
555,41,239635,130305,9666
556,41,239635,130305,14363
557,41,239635,130305,13977
558,41,144282,201640,9666
559,41,144282,201640,14363
560,41,144282,201640,13977
561,41,144282,225272,9666
562,41,144282,225272,14363
563,41,144282,225272,13977
564,41,144282,130305,9666
565,41,144282,130305,14363
566,41,144282,130305,13977
567,42,110699,105226,5473
568,42,110699,105226,7437
569,42,110699,105226,7823
570,42,110699,113716,5473
571,42,110699,113716,7437
572,42,110699,113716,7823
573,42,110699,72942,5473
574,42,110699,72942,7437
575,42,110699,72942,7823
576,42,121153,105226,5473
577,42,121153,105226,7437
578,42,121153,105226,7823
579,42,121153,113716,5473
580,42,121153,113716,7437
581,42,121153,113716,7823
582,42,121153,72942,5473
583,42,121153,72942,7437
584,42,121153,72942,7823
585,42,80765,105226,5473
586,42,80765,105226,7437
587,42,80765,105226,7823
588,42,80765,113716,5473
589,42,80765,113716,7437
590,42,80765,113716,7823
591,42,80765,72942,5473
592,42,80765,72942,7437
593,42,80765,72942,7823
594,43,218469,211917,6552
595,43,218469,211917,9473
596,43,218469,211917,9114
597,43,218469,239657,6552
598,43,218469,239657,9473
599,43,218469,239657,9114
